Data,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020
01-01-20,423,318,384,379,339,375,407,366,475,414,371,376
02-01-20,435,364,357,357,343,394,413,314,578,418,385,381
03-01-20,416,357,370,356,352,399,416,339,479,450,367,374
04-01-20,380,322,350,362,321,327,466,348,501,425,371,364
05-01-20,446,334,368,354,342,359,452,329,493,434,367,333
06-01-20,408,341,324,358,316,360,446,316,461,404,409,364
07-01-20,391,344,348,355,332,366,419,305,421,322,414,382
08-01-20,404,329,324,346,322,336,412,362,444,389,376,385
09-01-20,373,340,312,395,336,337,449,346,441,406,417,380
10-01-20,382,348,361,378,344,326,441,320,470,432,437,377
11-01-20,448,383,332,349,350,357,435,343,423,405,408,378
12-01-20,429,375,338,348,306,332,455,378,445,368,431,405
13-01-20,417,381,318,365,336,353,498,301,442,405,416,405
14-01-20,386,344,325,338,339,379,461,367,384,404,483,397
15-01-20,402,372,307,374,329,338,461,347,368,394,414,426
16-01-20,419,356,356,374,313,286,447,301,394,421,445,388
17-01-20,372,369,352,351,382,328,414,302,413,412,413,389
18-01-20,396,361,319,298,351,328,441,347,392,389,415,388
19-01-20,429,312,303,374,344,333,424,343,424,424,403,382
20-01-20,391,312,344,375,360,345,486,352,422,407,414,375
21-01-20,392,296,313,375,351,329,435,383,430,375,408,356
22-01-20,368,316,331,346,322,355,442,349,414,380,436,377
23-01-20,386,318,358,359,320,307,412,356,464,403,445,402
24-01-20,364,314,333,349,340,338,445,331,485,398,457,380
25-01-20,369,324,332,320,346,347,443,355,382,346,439,413
26-01-20,368,320,360,320,339,321,412,329,441,399,416,373
27-01-20,370,310,349,345,361,372,439,337,444,372,433,412
28-01-20,352,332,374,303,339,339,408,322,397,399,434,375
29-01-20,368,340,356,347,348,329,449,295,389,392,445,367
30-01-20,336,328,330,367,304,335,411,322,407,383,425,378
31-01-20,317,308,371,395,357,364,407,376,408,351,431,392
01-02-20,356,323,373,388,339,332,385,351,411,365,401,383
02-02-20,381,354,383,380,335,346,423,328,385,389,398,383
03-02-20,355,317,357,339,320,336,398,324,377,373,370,399
04-02-20,311,326,372,380,335,334,407,315,386,375,382,379
05-02-20,333,334,393,402,352,335,408,306,368,424,415,356
06-02-20,356,343,357,437,339,366,425,320,345,374,427,344
07-02-20,294,290,383,431,357,336,405,333,351,408,394,352
08-02-20,327,330,389,373,308,326,417,338,322,405,383,337
09-02-20,391,335,347,383,350,316,450,351,328,412,404,330
10-02-20,335,312,362,407,340,381,431,336,367,382,381,331
11-02-20,369,305,336,368,356,348,441,360,382,388,447,324
12-02-20,350,305,308,431,287,333,423,335,370,412,388,336
13-02-20,355,303,322,400,377,369,418,335,368,418,367,333
14-02-20,313,301,369,429,365,376,405,302,304,415,389,316
15-02-20,338,384,314,430,346,346,416,308,337,410,391,331
16-02-20,346,344,324,437,367,308,374,314,325,385,378,311
17-02-20,348,386,333,459,339,336,359,331,330,387,363,362
